# #stocks, #noise, #price, #walk, #kn, #action
58762,-3,0,0,0,buy
58761,-1,0.10999999999999999,-3,-3,buy
58760,-1,0.13999999999999999,-4,-4,buy
58759,2,0.15,-5,-5,sell
58760,2,0.07,-3,-3,sell
58761,3,0.05,-1,-1,sell
58762,3,0.009999999999999997,2,2,sell
58764,2,-0.020000000000000004,5,5,sell
58767,-4,-0.030000000000000006,7,8,buy
58765,-1,0.07,3,3,buy
58764,1,0.09,2,2,sell
58765,1,0.03,3,3,sell
58766,-1,-0.020000000000000004,4,4,buy
58765,-3,0.07,3,3,buy
58764,1,0.10999999999999999,0,0,sell
58765,1,0.03,1,1,sell
58766,2,-0.020000000000000004,2,2,sell
58767,2,-0.04000000000000001,4,4,sell
58771,-1,-0.07,6,9,buy
58770,-1,0.04000000000000001,5,8,buy
58769,-5,0.07,4,7,buy
58768,4,0.12999999999999998,-1,2,sell
58769,-1,-3.469446951953614e-18,3,6,buy
58768,2,0.09,2,5,sell
58769,2,0.019999999999999997,4,7,sell
58771,4,-0.030000000000000006,6,10,sell
58773,2,-0.09,10,14,sell
58778,2,-0.09999999999999999,12,19,sell
58781,-2,-0.10999999999999999,14,22,buy
58779,-1,-0.009999999999999997,12,19,buy
58778,-1,0.04000000000000001,11,18,buy
58777,4,0.07,10,17,sell
58779,2,-0.04000000000000001,14,22,sell
58780,-1,-0.09,16,24,buy
58779,2,-0.019999999999999997,15,23,sell
58780,1,-0.09,17,25,sell
58781,-1,-0.09999999999999999,18,26,buy
58780,2,-0.019999999999999997,17,25,sell
58781,2,-0.09,19,27,sell
58784,2,-0.11999999999999998,21,30,sell
58788,2,-0.12999999999999998,23,34,sell
58790,2,-0.15,25,37,sell
58792,1,-0.17,27,40,sell
58793,-1,-0.18000000000000002,28,41,buy
58792,1,-0.09,27,40,sell
58793,-2,-0.18000000000000002,28,41,buy
58792,1,-0.08,26,39,sell
58793,2,-0.18000000000000002,27,40,sell
58795,-3,-0.19000000000000003,29,42,buy
58794,-5,-0.09999999999999999,26,39,buy
58792,1,-0.060000000000000005,21,33,sell
58793,-1,-0.12999999999999998,22,34,buy
58792,-3,-0.07,21,33,buy
58790,3,-0.009999999999999997,18,30,sell
58792,1,-0.09999999999999999,21,34,sell
58793,-3,-0.12999999999999998,22,35,buy
58792,-2,-0.05,19,32,buy
58790,1,-0.009999999999999997,17,29,sell
58791,-1,-0.08,18,30,buy
58790,2,-0.019999999999999997,17,29,sell
58791,-1,-0.09,19,31,buy
58790,-2,-0.019999999999999997,18,30,buy
58788,-1,0.04000000000000001,16,27,buy
58787,1,0.07,15,26,sell
58788,2,-0.020000000000000004,16,27,sell
58789,-1,-0.04000000000000001,18,29,buy
58788,-1,0.04,17,28,buy
58787,-3,0.07,16,27,buy
58785,1,0.09,13,24,sell
58786,-2,0.03,14,25,buy
58785,-1,0.09999999999999999,12,23,buy
58784,-2,0.13999999999999999,11,22,buy
58783,-2,0.16,9,20,buy
58781,-2,0.19000000000000003,7,17,buy
58780,-1,0.21000000000000005,5,15,buy
58779,-1,0.23000000000000007,4,14,buy
58778,-1,0.25000000000000006,3,13,buy
58777,1,0.26000000000000006,2,12,sell
58778,3,0.18,3,13,sell
58780,-1,0.12999999999999995,6,16,buy
58779,-1,0.19,5,15,buy
58778,2,0.23000000000000004,4,14,sell
58780,3,0.12999999999999995,6,17,sell
58782,2,0.06999999999999998,9,20,sell
58783,-2,0.049999999999999975,11,22,buy
58781,1,0.14999999999999997,9,19,sell
58782,-1,0.07999999999999997,10,20,buy
58781,-1,0.13999999999999996,9,19,buy
