# #stocks, #noise, #price, #walk, #action
58762,1,0,1,sell
58763,1,-0.01,2,sell
58764,-1,-0.02,1,buy
58763,-1,0.07,0,buy
58762,1,0.09,1,sell
58763,1,0.03,2,sell
58764,1,-0.020000000000000004,3,sell
58767,1,-0.030000000000000006,4,sell
58768,-1,-0.06000000000000001,3,buy
58767,-1,0.04,2,buy
58766,-1,0.07,1,buy
58765,-1,0.09,0,buy
58764,1,0.13999999999999999,1,sell
58765,1,0.08,2,sell
58766,-2,0.03,0,buy
58765,1,0.09999999999999999,1,sell
58766,1,0.03,2,sell
58767,-1,-0.020000000000000004,1,buy
58766,-1,0.07,0,buy
58765,1,0.09,1,sell
58766,1,0.03,2,sell
58767,1,-0.020000000000000004,3,sell
58768,2,-0.030000000000000006,5,sell
58771,-1,-0.07,4,buy
58770,-1,0.04000000000000001,3,buy
58769,2,0.07,5,sell
58771,1,-0.030000000000000006,6,sell
58773,1,-0.08,7,sell
58778,-1,-0.09999999999999999,6,buy
58777,1,-0.019999999999999997,7,sell
58778,3,-0.08,10,sell
58781,1,-0.10999999999999999,11,sell
58784,2,-0.11999999999999998,13,sell
58788,-1,-0.12999999999999998,12,buy
58787,1,-0.07,13,sell
58788,1,-0.12999999999999998,14,sell
58789,1,-0.13999999999999999,15,sell
58790,-1,-0.15,14,buy
58789,1,-0.07,15,sell
58790,-2,-0.12999999999999998,13,buy
58789,-1,-0.060000000000000005,12,buy
58788,-1,-0.019999999999999997,11,buy
58787,1,-0.009999999999999997,12,sell
58788,-1,-0.08,11,buy
58787,1,-0.019999999999999997,12,sell
58788,-1,-0.08,11,buy
58787,-1,-0.019999999999999997,10,buy
58786,-1,0.030000000000000006,9,buy
58785,2,0.04000000000000001,11,sell
58786,-2,-0.04,9,buy
58785,-1,0.05000000000000001,8,buy
58784,-1,0.07,7,buy
58783,-1,0.08,6,buy
58782,-1,0.09,5,buy
58781,-2,0.13999999999999999,3,buy
58780,2,0.16,5,sell
58781,-1,0.07,4,buy
58780,-1,0.13999999999999999,3,buy
58779,-3,0.18000000000000002,0,buy
58777,-1,0.20000000000000004,-1,buy
58776,1,0.23000000000000007,0,sell
58777,2,0.13999999999999999,2,sell
58778,1,0.11999999999999998,3,sell
58779,1,0.08,4,sell
58780,-1,0.060000000000000005,3,buy
58779,-1,0.13999999999999999,2,buy
58778,1,0.15,3,sell
58779,-1,0.08,2,buy
58778,1,0.13999999999999999,3,sell
58779,-1,0.08,2,buy
58778,1,0.13999999999999999,3,sell
58779,1,0.08,4,sell
58780,1,0.060000000000000005,5,sell
58781,1,0.03,6,sell
58782,2,0.019999999999999997,8,sell
58784,1,-0.030000000000000006,9,sell
58785,1,-0.08,10,sell
58787,1,-0.09999999999999999,11,sell
58788,-2,-0.10999999999999999,9,buy
58786,1,-0.009999999999999997,10,sell
58787,2,-0.08,12,sell
58788,1,-0.10999999999999999,13,sell
58789,1,-0.11999999999999998,14,sell
58790,-1,-0.12999999999999998,13,buy
58789,-2,-0.07,11,buy
58787,1,-0.009999999999999997,12,sell
58788,-1,-0.08,11,buy
58787,-1,-0.019999999999999997,10,buy
58786,-1,0.030000000000000006,9,buy
58785,1,0.04000000000000001,10,sell
58786,1,-0.03,11,sell
58787,2,-0.08,13,sell
58788,1,-0.10999999999999999,14,sell
58789,-1,-0.11999999999999998,13,buy
58788,1,-0.019999999999999997,14,sell
58789,1,-0.08,15,sell
58790,-1,-0.12999999999999998,14,buy
58789,-1,-0.07,13,buy
58788,1,-0.019999999999999997,14,sell
58789,1,-0.08,15,sell
58790,-1,-0.12999999999999998,14,buy
58789,1,-0.07,15,sell
58790,1,-0.12999999999999998,16,sell
