# #stocks, #noise, #price, #walk, #action
58762,-26,0,-26,buy
58757,28,0.20000000000000004,2,sell
58762,-15,0.009999999999999997,-13,buy
58759,-49,0.17,-62,buy
58752,-31,0.3100000000000001,-93,buy
58746,-32,0.4300000000000002,-125,buy
58740,9,0.5300000000000002,-116,sell
58743,14,0.3800000000000001,-102,sell
58747,-14,0.28,-116,buy
58744,22,0.42000000000000015,-94,sell
58748,19,0.25,-75,sell
58753,27,0.16999999999999993,-48,sell
58759,-31,0.04999999999999992,-79,buy
58754,24,0.25,-55,sell
58758,-20,0.07999999999999992,-75,buy
58754,-7,0.25,-82,buy
58751,-35,0.31000000000000005,-117,buy
58746,-17,0.44000000000000017,-134,buy
58741,-13,0.5000000000000002,-147,buy
58736,21,0.5600000000000003,-126,sell
58739,18,0.40000000000000013,-108,sell
58742,4,0.32000000000000006,-104,sell
58745,5,0.29000000000000004,-99,sell
58747,-16,0.22999999999999998,-115,buy
58744,17,0.3900000000000001,-98,sell
58747,-11,0.22999999999999998,-109,buy
58745,18,0.3700000000000001,-91,sell
58748,13,0.19999999999999996,-78,sell
58752,-23,0.1499999999999999,-101,buy
58747,-11,0.3500000000000001,-112,buy
58744,-57,0.44000000000000017,-169,buy
58736,-16,0.5700000000000003,-185,buy
58730,-11,0.6400000000000003,-196,buy
58728,20,0.7300000000000004,-176,sell
58732,-16,0.5300000000000002,-192,buy
58729,27,0.6800000000000004,-165,sell
58733,16,0.4900000000000002,-149,sell
58737,-11,0.41000000000000014,-160,buy
58734,-18,0.5700000000000003,-178,buy
58730,-11,0.6500000000000004,-189,buy
58728,28,0.7300000000000004,-161,sell
58732,-10,0.5100000000000002,-171,buy
58730,-28,0.6600000000000004,-199,buy
58723,12,0.7800000000000005,-187,sell
58728,8,0.6000000000000003,-179,sell
58730,7,0.5100000000000002,-172,sell
58734,-1,0.4500000000000002,-173,buy
58733,4,0.5100000000000002,-169,sell
58735,-8,0.42000000000000015,-177,buy
58732,-20,0.5600000000000003,-197,buy
58728,41,0.6600000000000004,-156,sell
58734,-13,0.43000000000000016,-169,buy
58731,1,0.5700000000000003,-168,sell
58732,-6,0.5000000000000002,-174,buy
58730,-19,0.6100000000000003,-193,buy
58727,-21,0.6900000000000004,-214,buy
58722,19,0.8000000000000005,-195,sell
58727,17,0.5900000000000003,-178,sell
58731,-15,0.4800000000000002,-193,buy
58728,7,0.6400000000000003,-186,sell
58730,-9,0.5100000000000002,-195,buy
58728,17,0.6600000000000004,-178,sell
58731,-13,0.4800000000000002,-191,buy
58728,-6,0.6400000000000003,-197,buy
58726,22,0.7100000000000004,-175,sell
58730,21,0.5300000000000002,-154,sell
58735,-2,0.42000000000000015,-156,buy
58734,27,0.5200000000000002,-129,sell
58739,24,0.3400000000000001,-105,sell
58744,8,0.24,-97,sell
58747,1,0.17999999999999994,-96,sell
58749,34,0.16999999999999993,-62,sell
58757,-15,0.05999999999999992,-77,buy
58754,34,0.19999999999999996,-43,sell
58762,-21,0.019999999999999914,-64,buy
58757,22,0.18999999999999995,-42,sell
58761,14,0.029999999999999916,-28,sell
58767,7,-0.03000000000000009,-21,sell
58773,-1,-0.08000000000000008,-22,buy
58772,10,-0.02000000000000008,-12,sell
58781,-9,-0.11000000000000007,-21,buy
58779,15,0.01999999999999992,-6,sell
58788,25,-0.13000000000000006,19,sell
58796,-7,-0.20000000000000012,12,buy
58794,30,-0.08000000000000008,42,sell
58803,36,-0.24000000000000016,78,sell
58814,-12,-0.3000000000000002,66,buy
58811,23,-0.1600000000000001,89,sell
58817,-26,-0.32000000000000023,63,buy
58813,-33,-0.12000000000000006,30,buy
58808,-18,-0.02000000000000008,12,buy
58804,-19,0.06999999999999992,-7,buy
